track_name,album_name,album_type,duration,release_year,artists,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,producers,writers,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_genres,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating,billboard_hot_100_debut_date,billboard_hot_100_peak_pos,billboard_hot_100_peak_date,billboard_hot_100_weaks_on_chart,radio_songs_debut_date,radio_songs_peak_pos,radio_songs_peak_date,radio_songs_weaks_on_chart,digital_song_sales_debut_date,digital_song_sales_peak_pos,digital_song_sales_peak_date,digital_song_sales_weaks_on_chart,billboard_global_200_debut_date,billboard_global_200_peak_pos,billboard_global_200_peak_date,billboard_global_200_weaks_on_chart,mainstream_rock_airplay_debut_date,mainstream_rock_airplay_peak_pos,mainstream_rock_airplay_peak_date,mainstream_rock_airplay_weaks_on_chart,alternative_airplay_debut_date,alternative_airplay_peak_pos,alternative_airplay_peak_date,alternative_airplay_weaks_on_chart,rock_streaming_songs_debut_date,rock_streaming_songs_peak_pos,rock_streaming_songs_peak_date,rock_streaming_songs_weaks_on_chart,hot_alternative_songs_debut_date,hot_alternative_songs_peak_pos,hot_alternative_songs_peak_date,hot_alternative_songs_weaks_on_chart,alternative_streaming_songs_debut_date,alternative_streaming_songs_peak_pos,alternative_streaming_songs_peak_date,alternative_streaming_songs_weaks_on_chart,hot_rock_songs_debut_date,hot_rock_songs_peak_pos,hot_rock_songs_peak_date,hot_rock_songs_weaks_on_chart,lyricfind_global_debut_date,lyricfind_global_peak_pos,lyricfind_global_peak_date,lyricfind_global_weaks_on_chart,lyricfind_u.s._debut_date,lyricfind_u.s._peak_pos,lyricfind_u.s._peak_date,lyricfind_u.s._weaks_on_chart,hot_rock_&_alternative_songs_debut_date,hot_rock_&_alternative_songs_peak_pos,hot_rock_&_alternative_songs_peak_date,hot_rock_&_alternative_songs_weaks_on_chart,rock_digital_song_sales_debut_date,rock_digital_song_sales_peak_pos,rock_digital_song_sales_peak_date,rock_digital_song_sales_weaks_on_chart,alternative_digital_song_sales_debut_date,alternative_digital_song_sales_peak_pos,alternative_digital_song_sales_peak_date,alternative_digital_song_sales_weaks_on_chart,canadian_digital_song_sales_debut_date,canadian_digital_song_sales_peak_pos,canadian_digital_song_sales_peak_date,canadian_digital_song_sales_weaks_on_chart
Sifting,Bleach,studio album,322,1989,Nirvana,8.70E-05,0.42,0.747,0.0125,0,0.106,-7.559,1,0.0394,115.4,4,0.583,Jack Endino,Kurt Cobain,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out",42:14:00,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Cheese,Bleach,studio album,222,1989,Nirvana,5.73E-06,0.27,0.945,0.0203,4,0.179,-6.65,0,0.0537,129.556,4,0.297,,,Kurt Cobain,,,,,42:14:00,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downer,Bleach,studio album,103,1989,Nirvana,0.000401,0.345,0.932,0.546,4,0.185,-6.109,0,0.112,100.961,4,0.508,Jack Endino,"Kurt Cobain, Krist Novoselic","Kurt Cobain, Krist Novoselic",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Fiery, Intense, Reckless, Tense/Anxious, Angst-Ridden, Crunchy, Volatile, Aggressive, Cynical/Sarcastic, Harsh, Rebellious, Snide, Brooding, Confrontational, Energetic, Urgent, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out, Late Night",42:14:00,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Doesn'T Want Me For A Sunbeam,Live At The Paramount,live album,209,2011,Nirvana,0.000336,0.368,0.903,0.0184,9,0.693,-6.003,1,0.0445,122.214,4,0.275,,,"Eugene Kelly, Frances McKee",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Brooding, Intimate, Autumnal, Bittersweet, Literate, Reflective, Soothing, Angst-Ridden, Earnest, Gentle, Melancholy, Plaintive, Weary, Yearning","Feeling Blue, Introspection, Heartache, Rainy Day, Autumn, Late Night, Loss/Grief, Reflection, Solitude, Breakup",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneurysm,Live At The Paramount,live album,289,2011,Nirvana,0.000599,0.259,0.96,0.215,6,0.77,-6.503,0,0.088,131.984,4,0.14,,,"Kurt Cobain, Dave Grohl, Krist Novoselic",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Alternative Metal, Heavy Metal","Angst-Ridden, Brooding, Reckless, Tense/Anxious, Visceral, Volatile, Aggressive, Reflective, Acerbic, Cathartic","Feeling Blue, Introspection, Cool & Cocky, Heartache, Rainy Day, Late Night, Loss/Grief, Breakup, Hanging Out, Guys Night Out",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drain You,Live At The Paramount,live album,226,2011,Nirvana,0.00146,0.456,0.896,0.0013,1,0.618,-6.302,0,0.0632,136.733,4,0.509,,,Kurt Cobain,,,,,1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Live At The Paramount,live album,171,2011,Nirvana,0.00081,0.17,0.963,0.00119,4,0.836,-6.465,1,0.172,167.147,4,0.275,,,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Visceral, Acerbic, Raucous, Brooding, Cathartic, Snide","Cool & Cocky, Guys Night Out",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd The Barber,Live At The Paramount,live album,147,2011,Nirvana,0.000137,0.399,0.959,0.0164,5,0.754,-6.365,1,0.0785,135.687,4,0.55,,,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Cathartic, Intense, Angst-Ridden, Crunchy, Volatile, Aggressive, Cynical/Sarcastic, Harsh, Paranoid, Energetic, Visceral, Acerbic, Raucous, Brooding, Snide","Cool & Cocky, Guys Night Out",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smells Like Teen Spirit,Live At The Paramount,live album,285,2011,Nirvana,8.80E-05,0.317,0.948,0.0178,8,0.906,-5.411,1,0.0857,122.952,4,0.31,,,"Kurt Cobain, Dave Grohl, Krist Novoselic",Pop/Rock,"Alternative Pop/Rock, Grunge, Alternative/Indie Rock, Hard Rock","Angst-Ridden, Cathartic, Fiery, Aggressive, Raucous, Rousing, Snide, Urgent, Acerbic, Bleak, Confrontational, Rebellious, Tense/Anxious, Visceral, Volatile, Brash, Cynical/Sarcastic, Energetic, Harsh","Cool & Cocky, Guys Night Out",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About A Girl,Live At The Paramount,live album,193,2011,Nirvana,2.33E-05,0.367,0.935,0.00122,9,0.394,-6.062,1,0.0572,132.903,4,0.334,,,Kurt Cobain,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Yearning, Brooding, Earnest, Intimate, Melancholy, Angst-Ridden, Hypnotic, Plaintive, Reflective, Wistful, Searching, Bittersweet, Flowing","Heartache, Introspection, Breakup, Feeling Blue, Reflection, Sex, Rainy Day",1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polly,Live At The Paramount,live album,183,2011,Nirvana,0.244,0.546,0.549,0,0,0.381,-9.235,1,0.0312,128.073,4,0.386,,,Kurt Cobain,,,,,1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breed,Live At The Paramount,live album,190,2011,Nirvana,0.000163,0.136,0.976,0.363,9,0.948,-6.077,1,0.0844,164.291,4,0.247,,,Kurt Cobain,,,,,1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliver,Live At The Paramount,live album,131,2011,Nirvana,0.0206,0.396,0.957,2.00E-06,5,0.724,-5.692,1,0.156,140.796,4,0.311,,,Kurt Cobain,,,,,1:06:37,Pop/Rock,"Alternative/Indie Rock, Grunge, Indie Rock",,,"Aggressive, Cathartic, Fiery, Intense, Rebellious, Uncompromising, Acerbic, Bleak, Crunchy, Manic, Raucous, Reckless, Urgent, Visceral, Volatile, Angry, Angst-Ridden, Confrontational, Cynical/Sarcastic, Energetic, Fierce, Harsh, Messy, Snide, Spooky, Tense/Anxious, Wry, Anguished/Distraught, Brash, Gloomy, Menacing, Nihilistic, Paranoid, Unsettling, Brooding, Plaintive","Empowerment, Revolution, Feeling Blue, Freedom, Maverick, Politics/Society, Cool & Cocky, Reflection, Breakup, Imagination, Introspection, Late Night, Regret, Heartache",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
