track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,authors,producers
Tremor Christ,Vitalogy,album,1994,Pearl Jam,250,0.0229,0.546,0.727,0.00616,1,0.102,-7.361,1,0.025,77.746,4,0.598,"Eddie Vedder, Mike McCready, Jeff Ament","Brendan O'Brien, Pearl Jam"
Nothingman,Vitalogy,album,1994,Pearl Jam,274,0.499,0.274,0.387,0.000345,5,0.108,-10.206,1,0.0304,96.018,4,0.15,"Eddie Vedder, Jeff Ament","Brendan O'Brien, Pearl Jam"
Whipping,Vitalogy,album,1994,Pearl Jam,154,0.00323,0.368,0.986,6.61e-06,7,0.0787,-5.016,1,0.0533,165.902,4,0.452,,
"Pry, To",Vitalogy,album,1994,Pearl Jam,61,0.0435,0.35,0.439,7.81e-06,2,0.028,-15.798,1,0.0361,101.265,4,0.315,,
Corduroy,Vitalogy,album,1994,Pearl Jam,277,0.00241,0.487,0.93,2.82e-05,0,0.0841,-7.3,1,0.0632,131.304,4,0.134,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder","Brendan O'Brien, Pearl Jam"
Bugs,Vitalogy,album,1994,Pearl Jam,164,0.737,0.709,0.357,2.75e-06,10,0.0745,-10.28,1,0.0322,65.062,4,0.644,,
Satan's Bed,Vitalogy,album,1994,Pearl Jam,204,0.00047,0.578,0.954,7.08e-05,11,0.329,-6.959,0,0.0755,139.598,5,0.661,,
Better Man,Vitalogy,album,1994,Pearl Jam,268,0.165,0.445,0.671,1.56e-05,2,0.0791,-7.937,1,0.0387,125.712,4,0.267,Eddie Vedder,"Brendan O'Brien, Pearl Jam"
Aye Davanita,Vitalogy,album,1994,Pearl Jam,174,0.166,0.646,0.774,0.732,11,0.0781,-10.709,0,0.035,130.609,4,0.284,,
Immortality,Vitalogy,album,1994,Pearl Jam,318,0.0798,0.633,0.543,0.00671,2,0.0964,-9.142,1,0.0296,129.089,4,0.118,Eddie Vedder,"Brendan O'Brien, Pearl Jam"
Stupidmop,Vitalogy,album,1994,Pearl Jam,443,0.187,0.341,0.794,0.00838,4,0.104,-12.882,0,0.0786,97.217,4,0.291,,
Better Man,Vitalogy,album,1994,Pearl Jam,234,0.916,0.31,0.138,0.000288,2,0.0863,-13.108,1,0.0325,116.007,4,0.17,Eddie Vedder,"Brendan O'Brien, Pearl Jam"
Corduroy,Vitalogy,album,1994,Pearl Jam,283,0.0065,0.491,0.927,5.01e-05,0,0.0691,-6.64,1,0.0566,131.055,4,0.108,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder","Brendan O'Brien, Pearl Jam"
Nothingman,Vitalogy,album,1994,Pearl Jam,276,0.17,0.373,0.333,1.64e-05,5,0.122,-10.102,1,0.0298,144.451,3,0.122,"Eddie Vedder, Jeff Ament","Brendan O'Brien, Pearl Jam"
Go,Vs.,album,1993,Pearl Jam,193,4.34e-06,0.469,0.863,0.353,5,0.33,-7.037,0,0.0494,140.264,4,0.375,"Eddie Vedder, Dave Abbruzzese","Brendan O'Brien, Pearl Jam"
Animal,Vs.,album,1993,Pearl Jam,167,7.74e-05,0.494,0.955,2.77e-06,7,0.051,-4.984,1,0.0626,106.087,4,0.487,"Eddie Vedder, Stone Gossard","Brendan O'Brien, Pearl Jam"
Daughter,Vs.,album,1993,Pearl Jam,234,0.00746,0.615,0.702,0.00431,7,0.0608,-9.686,1,0.0278,96.987,4,0.734,"Eddie Vedder, Stone Gossard, Jeff Ament, Mike McCready, Dave Abbruzzese","Brendan O'Brien, Pearl Jam"
Glorified G,Vs.,album,1993,Pearl Jam,204,0.000278,0.546,0.86,0.255,7,0.0961,-5.618,1,0.0455,115.319,4,0.726,"Eddie Vedder, Stone Gossard, Mike McCready, Jeff Ament, Dave Abbruzzese","Brendan O'Brien, Pearl Jam"
Dissident,Vs.,album,1993,Pearl Jam,214,0.0031,0.267,0.864,0.0,0,0.116,-5.127,1,0.0481,146.698,4,0.531,Eddie VedderJeff AmentStone GossardMike McCreadyDave Abbruzzese,Brendan O'BrienPearl Jam
W.M.A.,Vs.,album,1993,Pearl Jam,357,0.0213,0.591,0.77,0.14,7,0.069,-9.335,1,0.0446,107.729,4,0.663,,
Blood,Vs.,album,1993,Pearl Jam,169,2.04e-05,0.506,0.884,0.388,5,0.195,-6.377,1,0.0512,111.296,3,0.542,,
Rearviewmirror,Vs.,album,1993,Pearl Jam,283,0.00146,0.374,0.961,0.00036,11,0.351,-5.387,0,0.0656,158.862,4,0.437,Eddie Vedder,"Brendan O'Brien, Pearl Jam"
Rats,Vs.,album,1993,Pearl Jam,255,0.0017,0.337,0.901,2.32e-05,7,0.0891,-7.049,1,0.0473,188.09,4,0.567,,
Elderly Woman Behind the Counter in a Small Town,Vs.,album,1993,Pearl Jam,196,0.0519,0.281,0.493,9.15e-06,7,0.101,-9.461,1,0.0284,60.772,4,0.167,Eddie Vedder,"Brendan O'Brien, Pearl Jam"
Leash,Vs.,album,1993,Pearl Jam,188,7.35e-05,0.426,0.921,0.00854,0,0.221,-5.555,1,0.0581,103.452,4,0.374,,
Indifference,Vs.,album,1993,Pearl Jam,302,0.929,0.305,0.28,0.00185,2,0.117,-12.697,1,0.0296,102.758,4,0.245,,
Hold On,Vs.,album,1993,Pearl Jam,279,0.422,0.535,0.546,0.00487,7,0.339,-9.211,1,0.0286,148.261,4,0.28,,
Cready Stomp,Vs.,album,1993,Pearl Jam,201,2.2e-06,0.168,0.936,0.769,0,0.375,-5.984,1,0.063,184.389,4,0.51,,
Crazy Mary,Vs.,album,1993,Pearl Jam,339,0.0389,0.385,0.465,0.0159,11,0.128,-10.319,0,0.034,139.156,4,0.104,,
Once,Ten,album,1991,Pearl Jam,231,0.00535,0.413,0.885,1.97e-06,2,0.166,-7.695,0,0.0777,113.807,4,0.211,"Eddie Vedder, Stone Gossard","Rick Parashar, Pearl Jam"
Even Flow,Ten,album,1991,Pearl Jam,292,0.00178,0.394,0.944,4.54e-06,10,0.298,-6.506,0,0.0761,105.338,4,0.265,"Eddie Vedder, Stone Gossard","Rick Parashar, Pearl Jam"
Alive,Ten,album,1991,Pearl Jam,340,0.00752,0.284,0.875,0.000461,11,0.402,-6.069,0,0.0422,75.009,4,0.595,"Eddie Vedder, Stone Gossard","Rick Parashar, Pearl Jam"
Why Go,Ten,album,1991,Pearl Jam,200,0.00999,0.322,0.968,4.12e-05,9,0.445,-5.59,1,0.106,115.565,4,0.316,,
Black,Ten,album,1991,Pearl Jam,342,0.323,0.36,0.684,0.0,4,0.34,-6.457,0,0.0308,77.15,4,0.2,"Eddie Vedder, Stone Gossard","Rick Parashar, Pearl Jam"
Jeremy,Ten,album,1991,Pearl Jam,318,0.0404,0.285,0.846,0.0,2,0.182,-6.472,1,0.0438,108.808,4,0.287,,Rick ParasharPearl Jam
Oceans,Ten,album,1991,Pearl Jam,161,0.512,0.362,0.377,0.101,7,0.175,-10.142,1,0.034,112.393,5,0.147,"Eddie Vedder, Stone Gossard, Jeff Ament","Rick Parashar, Pearl Jam"
Porch,Ten,album,1991,Pearl Jam,210,0.00372,0.326,0.935,7.55e-06,9,0.302,-5.69,1,0.0698,135.762,4,0.17,,
Garden,Ten,album,1991,Pearl Jam,298,0.0478,0.191,0.707,6.1e-05,7,0.295,-6.846,1,0.0345,82.7,4,0.179,,
Deep,Ten,album,1991,Pearl Jam,258,0.000179,0.284,0.882,0.000491,4,0.0979,-6.42,0,0.0616,82.226,3,0.25,,
Release,Ten,album,1991,Pearl Jam,546,0.446,0.241,0.34,0.0641,7,0.0994,-11.919,1,0.0446,80.979,4,0.064,,
Last Kiss,Last Kiss,extended play,1999,Pearl Jam,195,0.363,0.622,0.692,0.000158,7,0.193,-6.97,1,0.0276,112.053,4,0.774,"Wayne Cochran, Joe Carpenter, Randall Hoyal, Bobby McGlon",
Soldier of Love,Last Kiss,extended play,1999,Pearl Jam,174,0.143,0.55,0.777,7.46e-06,4,0.981,-7.299,1,0.0382,116.14,4,0.751,,
I Got Id,Merkin Ball,extended play,1995,Pearl Jam,291,0.063,0.133,0.793,0.411,7,0.123,-7.537,1,0.0683,187.827,4,0.134,,
Long Road,Merkin Ball,extended play,1995,Pearl Jam,359,0.201,0.544,0.441,0.65,2,0.0995,-11.321,1,0.028,101.732,4,0.0764,,
