track,artists,album,album_type,duration,release_year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
About A Girl,Nirvana,Sliver - The Best Of The Box,compilation album,162,2005,0.637,0.479,0.462,0.83,2,0.0939,-11.501,0,0.03,115.833,4,0.281
Blandest,Nirvana,Sliver - The Best Of The Box,compilation album,235,2005,3.48e-05,0.295,0.974,0.00862,10,0.237,-3.319,0,0.0982,122.201,4,0.365
Ain'T It A Shame,Nirvana,Sliver - The Best Of The Box,compilation album,122,2005,1.08e-05,0.42,0.956,0.000305,4,0.196,-5.139,1,0.0668,113.349,4,0.655
Opinion,Nirvana,Sliver - The Best Of The Box,compilation album,93,2005,0.829,0.388,0.466,0.0,6,0.203,-9.512,0,0.0441,150.442,4,0.702
Lithium,Nirvana,Sliver - The Best Of The Box,compilation album,108,2005,0.885,0.572,0.35,0.0,9,0.597,-9.252,1,0.0349,127.872,4,0.504
Sliver,Nirvana,Sliver - The Best Of The Box,compilation album,128,2005,0.962,0.664,0.366,0.886,8,0.127,-11.542,0,0.062,128.482,4,0.664
Smells Like Teen Spirit,Nirvana,Sliver - The Best Of The Box,compilation album,338,2005,0.148,0.555,0.983,0.000264,8,0.261,-3.513,1,0.091,117.261,4,0.431
Come As You Are,Nirvana,Sliver - The Best Of The Box,compilation album,249,2005,0.163,0.397,0.874,0.0171,4,0.329,-5.683,1,0.0325,120.076,4,0.759
Old Age,Nirvana,Sliver - The Best Of The Box,compilation album,259,2005,0.0315,0.492,0.835,0.00385,0,0.212,-6.768,1,0.039,128.106,4,0.466
Oh The Guilt,Nirvana,Sliver - The Best Of The Box,compilation album,204,2005,5.21e-05,0.239,0.885,1.22e-06,1,0.121,-2.483,1,0.0881,132.795,4,0.425
Rape Me,Nirvana,Sliver - The Best Of The Box,compilation album,201,2005,0.889,0.581,0.536,0.62,6,0.174,-7.509,0,0.0512,94.8,4,0.413
Heart Shaped Box,Nirvana,Sliver - The Best Of The Box,compilation album,330,2005,0.00677,0.452,0.653,0.0353,1,0.199,-6.042,1,0.0506,102.153,4,0.338
Do Re Mi,Nirvana,Sliver - The Best Of The Box,compilation album,262,2005,0.84,0.561,0.749,0.615,7,0.124,-4.465,0,0.0328,122.136,4,0.394
You Know You'Re Right,Nirvana,Sliver - The Best Of The Box,compilation album,149,2005,0.979,0.41,0.456,0.536,5,0.214,-9.619,0,0.0336,84.985,4,0.609
All Apologies,Nirvana,Sliver - The Best Of The Box,compilation album,213,2005,0.919,0.571,0.552,0.85,0,0.15,-8.046,1,0.0314,106.549,4,0.575
Spank Thru,Nirvana,Sliver - The Best Of The Box,compilation album,224,2005,0.434,0.344,0.838,0.0,1,0.191,-5.9,1,0.0955,109.682,4,0.402
Sappy,Nirvana,Sliver - The Best Of The Box,compilation album,211,2005,2.05e-05,0.41,0.899,1.78e-05,2,0.133,-8.143,1,0.0505,130.91,4,0.307
You Know You'Re Right,Nirvana,Nirvana,compilation album,217,2002,0.0284,0.271,0.755,0.000411,5,0.123,-6.306,0,0.142,177.02,4,0.437
About A Girl,Nirvana,Nirvana,compilation album,166,2002,2.88e-05,0.408,0.927,1.34e-05,11,0.298,-4.501,0,0.0374,131.693,4,0.59
Been A Son,Nirvana,Nirvana,compilation album,140,2002,0.00655,0.416,0.941,0.00121,9,0.142,-5.011,1,0.0881,142.749,4,0.536
Sliver,Nirvana,Nirvana,compilation album,131,2002,6.13e-05,0.427,0.852,0.000943,5,0.11,-5.579,1,0.0773,141.279,4,0.419
Smells Like Teen Spirit,Nirvana,Nirvana,compilation album,301,2002,1.64e-05,0.5,0.878,0.000249,1,0.112,-5.928,1,0.0484,116.697,4,0.794
Come As You Are,Nirvana,Nirvana,compilation album,219,2002,0.000105,0.519,0.815,0.00261,4,0.0993,-6.349,0,0.0354,119.944,4,0.497
Lithium,Nirvana,Nirvana,compilation album,255,2002,0.00133,0.678,0.678,0.0,7,0.0855,-5.866,1,0.038,123.207,4,0.433
In Bloom,Nirvana,Nirvana,compilation album,253,2002,3.6e-05,0.446,0.843,4.82e-05,10,0.222,-5.868,0,0.0555,158.226,4,0.579
Heart-Shaped Box,Nirvana,Nirvana,compilation album,279,2002,0.0921,0.244,0.825,0.0057,1,0.0984,-6.788,1,0.116,199.655,4,0.297
Pennyroyal Tea,Nirvana,Nirvana,compilation album,215,2002,5.74e-05,0.392,0.752,5.71e-05,9,0.116,-7.373,1,0.0526,114.276,4,0.152
Rape Me,Nirvana,Nirvana,compilation album,169,2002,0.00286,0.413,0.86,2.92e-06,8,0.0904,-7.559,1,0.0537,112.058,4,0.218
Dumb,Nirvana,Nirvana,compilation album,149,2002,0.184,0.692,0.487,0.215,11,0.329,-8.941,1,0.0268,113.789,4,0.827
All Apologies,Nirvana,Nirvana,compilation album,225,2002,0.419,0.638,0.56,7.24e-05,1,0.686,-8.401,1,0.0312,109.001,4,0.247
The Man Who Sold The World,Nirvana,Nirvana,compilation album,227,2002,0.373,0.481,0.687,0.000319,1,0.922,-7.756,0,0.0294,115.129,4,0.366
Polly,Nirvana,Nevermind,studio album,173,1991,0.884,0.83,0.382,0.301,2,0.11,-11.231,0,0.0566,121.12,4,0.54
Pennyroyal Tea,Nirvana,In Utero,studio album,218,1993,0.000351,0.428,0.449,0.000498,1,0.253,-12.114,0,0.0342,113.308,4,0.196
Frances Farmer Will Have Her Revenge On Seattle,Nirvana,In Utero,studio album,250,1993,5.66e-05,0.482,0.723,0.000432,10,0.0939,-10.08,0,0.0425,117.051,4,0.554
On A Plain,Nirvana,Nevermind,studio album,194,1991,0.000119,0.428,0.946,3.37e-06,2,0.141,-4.674,1,0.102,133.26,4,0.358
Been A Son,Nirvana,Lithium,single,153,1992,0.00174,0.292,0.884,0.112,7,0.681,-11.712,1,0.0826,142.924,4,0.247
Dumb,Nirvana,In Utero,studio album,151,1993,0.428,0.697,0.395,0.653,6,0.173,-13.58,1,0.0281,113.589,4,0.876
All Apologies,Nirvana,In Utero,studio album,233,1993,0.0793,0.446,0.632,0.000266,1,0.0881,-12.197,1,0.034,113.176,4,0.359
Very Ape,Nirvana,In Utero,studio album,115,1993,3.11e-06,0.262,0.886,0.368,1,0.188,-9.392,1,0.0336,152.09,4,0.965
Serve The Servants,Nirvana,In Utero,studio album,217,1993,1.13e-05,0.435,0.895,0.0318,10,0.19,-8.7,1,0.0421,119.659,4,0.668
Smells Like Teen Spirit,Nirvana,Nevermind,studio album,301,1991,1.22e-05,0.485,0.863,0.0162,1,0.138,-9.027,1,0.0495,116.835,4,0.767
In Bloom,Nirvana,Nevermind,studio album,254,1991,9.84e-06,0.433,0.744,7.73e-05,10,0.29,-8.97,0,0.0449,157.18,4,0.595
Come As You Are,Nirvana,Nevermind,studio album,219,1991,3.72e-05,0.52,0.755,0.00871,4,0.0721,-9.422,0,0.037,120.015,4,0.505
Breed,Nirvana,Nevermind,studio album,183,1991,2.17e-06,0.267,0.941,0.339,11,0.113,-8.836,1,0.0547,159.003,4,0.464
Lithium,Nirvana,Nevermind,studio album,257,1991,0.000194,0.686,0.607,0.0,7,0.0621,-8.964,1,0.0368,123.258,4,0.436
Territorial Pissings,Nirvana,Nevermind,studio album,142,1991,4.84e-05,0.309,0.954,0.00146,2,0.347,-8.802,1,0.0953,182.45,4,0.112
Drain You,Nirvana,Nevermind,studio album,224,1991,1.69e-05,0.32,0.884,3.72e-05,11,0.126,-10.193,0,0.0453,132.918,4,0.256
Lounge Act,Nirvana,Nevermind,studio album,156,1991,4.14e-06,0.369,0.908,0.00648,11,0.123,-9.766,0,0.0652,152.047,4,0.563
Stay Away,Nirvana,Nevermind,studio album,212,1991,3.63e-06,0.309,0.95,0.806,11,0.0866,-9.637,0,0.0615,165.255,4,0.345
Something In The Way,Nirvana,Nevermind,studio album,232,1991,0.558,0.421,0.138,0.554,8,0.112,-18.231,1,0.031,105.106,4,0.0628
Scentless Apprentice,Nirvana,In Utero,studio album,227,1993,1.18e-06,0.294,0.791,0.299,1,0.12,-9.029,1,0.0422,169.548,4,0.627
Heart-Shaped Box,Nirvana,In Utero,studio album,278,1993,0.0954,0.496,0.718,0.0297,1,0.0775,-9.554,1,0.0459,101.735,4,0.37
Rape Me,Nirvana,In Utero,studio album,169,1993,0.00168,0.424,0.832,1.99e-06,8,0.0775,-9.035,1,0.0528,112.086,4,0.238
Milk It,Nirvana,In Utero,studio album,233,1993,0.000114,0.463,0.606,0.0013,1,0.164,-9.994,0,0.05,136.213,4,0.565
Radio Friendly Unit Shifter,Nirvana,In Utero,studio album,289,1993,5.93e-05,0.311,0.968,0.0637,6,0.669,-8.931,1,0.0634,155.856,3,0.56
Tourette'S,Nirvana,In Utero,studio album,93,1993,1.8e-05,0.287,0.96,9.86e-06,10,0.215,-8.405,0,0.0572,87.504,4,0.322
All Apologies/Gallons Of Rubbing Alcohol Flow Through The Strip,Nirvana,In Utero,studio album,1892,1993,0.00163,0.0,2.02e-05,0.0293,6,0.11,-11.267,1,0.0,0.0,0,0.0
The One You Know,Alice In Chains,Rainier Fog,studio album,289,2018,0.000222,0.557,0.772,0.0192,6,0.196,-4.989,0,0.0325,77.533,4,0.567
Rainier Fog,Alice In Chains,Rainier Fog,studio album,301,2018,0.00011,0.539,0.909,0.613,8,0.128,-5.741,1,0.0342,115.977,4,0.627
Red Giant,Alice In Chains,Rainier Fog,studio album,325,2018,2.77e-05,0.47,0.845,0.329,6,0.0678,-5.642,1,0.0286,160.018,4,0.371
Fly,Alice In Chains,Rainier Fog,studio album,318,2018,0.000235,0.517,0.814,0.0617,6,0.182,-5.097,1,0.0263,105.004,4,0.363
Drone,Alice In Chains,Rainier Fog,studio album,390,2018,0.00118,0.352,0.804,8.52e-05,0,0.0958,-5.731,0,0.0603,131.918,3,0.558
Deaf Ears Blind Eyes,Alice In Chains,Rainier Fog,studio album,284,2018,2.47e-05,0.308,0.731,0.0575,7,0.186,-5.745,0,0.0298,75.063,4,0.273
Maybe,Alice In Chains,Rainier Fog,studio album,336,2018,0.000257,0.507,0.757,0.00011,6,0.0971,-5.66,1,0.0309,113.048,4,0.202
So Far Under,Alice In Chains,Rainier Fog,studio album,273,2018,0.000762,0.48,0.898,0.00356,7,0.0668,-5.459,0,0.0493,134.913,4,0.406
Never Fade,Alice In Chains,Rainier Fog,studio album,280,2018,3.85e-05,0.52,0.94,0.0713,10,0.123,-5.311,0,0.0356,126.977,4,0.743
All I Am,Alice In Chains,Rainier Fog,studio album,435,2018,0.000275,0.478,0.742,0.00671,1,0.0996,-5.569,0,0.0293,105.001,4,0.251
Hollow,Alice In Chains,The Devil Put Dinosaurs Here,studio album,341,2013,2.2e-05,0.453,0.825,0.593,6,0.372,-5.071,0,0.0352,98.005,3,0.176
Pretty Done,Alice In Chains,The Devil Put Dinosaurs Here,studio album,275,2013,6.75e-06,0.415,0.862,0.81,11,0.0629,-4.137,1,0.038,100.001,4,0.323
Stone,Alice In Chains,The Devil Put Dinosaurs Here,studio album,262,2013,6.1e-06,0.456,0.867,0.764,1,0.0914,-4.499,1,0.0399,75.991,4,0.558
Voices,Alice In Chains,The Devil Put Dinosaurs Here,studio album,342,2013,0.000143,0.509,0.751,0.157,8,0.108,-6.962,1,0.0351,106.003,4,0.133
The Devil Put Dinosaurs Here,Alice In Chains,The Devil Put Dinosaurs Here,studio album,398,2013,5.41e-05,0.362,0.767,0.501,5,0.107,-5.499,0,0.0302,92.011,4,0.201
Lab Monkey,Alice In Chains,The Devil Put Dinosaurs Here,studio album,358,2013,2.21e-05,0.347,0.741,0.912,6,0.102,-6.066,1,0.0327,108.189,4,0.195
Low Ceiling,Alice In Chains,The Devil Put Dinosaurs Here,studio album,315,2013,2.39e-05,0.262,0.824,0.211,10,0.0943,-4.615,0,0.0428,158.054,4,0.377
Breath on a Window,Alice In Chains,The Devil Put Dinosaurs Here,studio album,319,2013,5.37e-05,0.253,0.864,0.605,5,0.216,-5.067,0,0.0432,110.07,4,0.403
Scalpel,Alice In Chains,The Devil Put Dinosaurs Here,studio album,321,2013,2.36e-05,0.39,0.657,0.392,8,0.117,-5.951,1,0.0312,104.674,4,0.278
Phantom Limb,Alice In Chains,The Devil Put Dinosaurs Here,studio album,427,2013,3.67e-05,0.283,0.857,0.769,10,0.119,-3.918,0,0.0444,138.186,4,0.326
Hung on a Hook,Alice In Chains,The Devil Put Dinosaurs Here,studio album,334,2013,4.65e-06,0.225,0.562,0.772,1,0.0897,-6.147,1,0.0318,98.814,4,0.067
Choke,Alice In Chains,The Devil Put Dinosaurs Here,studio album,344,2013,0.000168,0.515,0.695,0.783,3,0.158,-6.518,0,0.0283,103.92,4,0.208
All Secrets Known,Alice In Chains,Black Gives Way to Blue,studio album,282,2009,4.61e-06,0.384,0.82,0.0291,1,0.137,-5.676,1,0.0464,112.04,3,0.313
Check My Brain,Alice In Chains,Black Gives Way to Blue,studio album,237,2009,3.28e-06,0.441,0.845,0.0533,10,0.723,-3.315,1,0.0462,113.989,4,0.304
Last of My Kind,Alice In Chains,Black Gives Way to Blue,studio album,352,2009,2.41e-05,0.477,0.895,0.462,1,0.302,-4.231,1,0.0397,115.973,4,0.371
Your Decision,Alice In Chains,Black Gives Way to Blue,studio album,283,2009,4.42e-05,0.469,0.631,0.000375,3,0.09,-5.872,0,0.0262,99.96,4,0.192
A Looking in View,Alice In Chains,Black Gives Way to Blue,studio album,426,2009,5.3e-06,0.274,0.839,0.0326,6,0.257,-4.264,1,0.0489,122.182,4,0.217
When the Sun Rose Again,Alice In Chains,Black Gives Way to Blue,studio album,240,2009,0.16,0.597,0.468,0.000221,7,0.103,-9.028,0,0.0238,92.008,4,0.435
Acid Bubble,Alice In Chains,Black Gives Way to Blue,studio album,415,2009,8.64e-06,0.18,0.783,0.0382,5,0.0794,-4.332,0,0.0363,92.289,4,0.246
Lesson Learned,Alice In Chains,Black Gives Way to Blue,studio album,256,2009,9.27e-06,0.44,0.951,0.00773,1,0.116,-3.639,1,0.0533,108.018,4,0.323
Take Her Out,Alice In Chains,Black Gives Way to Blue,studio album,240,2009,2.85e-05,0.422,0.842,0.000424,8,0.0621,-4.829,1,0.0407,97.06,4,0.513
Private Hell,Alice In Chains,Black Gives Way to Blue,studio album,338,2009,5.51e-05,0.388,0.846,0.164,10,0.0828,-5.193,0,0.0335,103.93,4,0.351
Black Gives Way to Blue,Alice In Chains,Black Gives Way to Blue,studio album,183,2009,0.822,0.205,0.331,0.000695,8,0.0891,-9.265,1,0.0302,179.982,4,0.113
Black Gives Way to Blue - Piano Mix,Alice In Chains,Black Gives Way to Blue,studio album,180,2009,0.501,0.516,0.294,4.63e-05,8,0.101,-10.383,1,0.0266,89.964,4,0.107
Your Decision - Live,Alice In Chains,Black Gives Way to Blue,studio album,288,2009,0.00934,0.227,0.763,0.0128,6,0.163,-5.253,1,0.0291,96.619,4,0.223
Nutshell,Alice In Chains,Unplugged,live album,297,1996,0.328,0.36,0.548,0.217,3,0.971,-12.938,0,0.0468,121.801,3,0.244
Brother,Alice In Chains,Unplugged,live album,327,1996,0.557,0.405,0.365,0.00048,1,0.89,-10.927,1,0.0307,85.781,4,0.076
No Excuses,Alice In Chains,Unplugged,live album,297,1996,0.146,0.601,0.77,0.00195,3,0.802,-7.447,1,0.0415,121.067,4,0.723
Sludge Factory,Alice In Chains,Unplugged,live album,276,1996,0.0399,0.508,0.507,8.41e-06,1,0.943,-8.046,1,0.0257,166.469,3,0.227
Down In A Hole,Alice In Chains,Unplugged,live album,346,1996,0.0883,0.554,0.515,2.7e-05,6,0.883,-8.534,1,0.024,95.125,4,0.432
Angry Chair,Alice In Chains,Unplugged,live album,276,1996,0.0632,0.621,0.679,0.000497,8,0.988,-7.961,1,0.0475,109.413,4,0.185
Rooster,Alice In Chains,Unplugged,live album,401,1996,0.364,0.358,0.329,0.00265,0,0.137,-11.781,0,0.0298,145.04,4,0.141
Got Me Wrong,Alice In Chains,Unplugged,live album,300,1996,0.116,0.535,0.69,0.000113,8,0.73,-8.956,1,0.045,81.871,4,0.293
Heaven Beside You,Alice In Chains,Unplugged,live album,337,1996,0.259,0.651,0.701,2.28e-05,1,0.72,-8.198,1,0.0389,112.537,4,0.426
Would?,Alice In Chains,Unplugged,live album,223,1996,0.0467,0.613,0.7,2.09e-06,10,0.702,-7.779,0,0.0283,100.743,4,0.467
Frogs,Alice In Chains,Unplugged,live album,450,1996,0.325,0.574,0.398,0.0283,11,0.648,-12.857,1,0.0271,92.041,4,0.084
Over Now,Alice In Chains,Unplugged,live album,432,1996,0.167,0.608,0.502,0.00626,5,0.244,-10.45,0,0.0404,111.41,4,0.278
The Killer Is Me,Alice In Chains,Unplugged,live album,323,1996,0.277,0.468,0.682,0.195,1,0.829,-10.156,1,0.0418,121.983,4,0.327
Grind,Alice In Chains,Alice In Chains,studio album,284,1995,0.000146,0.393,0.883,0.000342,11,0.504,-5.884,1,0.0367,88.417,4,0.364
Brush Away,Alice In Chains,Alice In Chains,studio album,202,1995,0.102,0.505,0.875,0.00057,10,0.235,-5.624,0,0.0318,105.481,4,0.231
Sludge Factory,Alice In Chains,Alice In Chains,studio album,432,1995,0.00104,0.3,0.717,0.0142,3,0.165,-6.594,0,0.0307,164.402,4,0.418
Heaven Beside You,Alice In Chains,Alice In Chains,studio album,327,1995,0.00451,0.551,0.724,0.000167,10,0.116,-7.09,0,0.032,111.243,4,0.559
Head Creeps,Alice In Chains,Alice In Chains,studio album,388,1995,0.000772,0.317,0.976,0.154,8,0.13,-6.37,1,0.0546,101.505,4,0.243
Again,Alice In Chains,Alice In Chains,studio album,245,1995,0.000707,0.55,0.868,0.0245,7,0.121,-6.243,1,0.046,123.15,4,0.405
Shame In You,Alice In Chains,Alice In Chains,studio album,335,1995,0.000838,0.317,0.597,0.0223,8,0.119,-7.959,1,0.0268,140.824,4,0.18
God Am,Alice In Chains,Alice In Chains,studio album,248,1995,0.00819,0.464,0.923,0.0087,8,0.299,-6.535,0,0.208,157.635,4,0.445
So Close,Alice In Chains,Alice In Chains,studio album,165,1995,0.000183,0.455,0.973,0.083,4,0.109,-5.278,1,0.0565,142.497,4,0.371
Nothin' Song,Alice In Chains,Alice In Chains,studio album,340,1995,0.00181,0.303,0.805,0.000222,8,0.375,-7.422,1,0.0444,122.365,4,0.283
Frogs,Alice In Chains,Alice In Chains,studio album,498,1995,0.028,0.388,0.474,0.468,11,0.116,-9.574,1,0.0283,95.183,4,0.0871
Over Now,Alice In Chains,Alice In Chains,studio album,423,1995,0.174,0.481,0.566,0.0743,5,0.355,-10.054,0,0.0342,106.634,4,0.302
Rotten Apple,Alice In Chains,Jar Of Flies,extended play,418,1994,0.215,0.31,0.637,0.116,3,0.0619,-8.595,0,0.037,147.4,4,0.426
Nutshell,Alice In Chains,Jar Of Flies,extended play,259,1994,0.373,0.384,0.561,0.253,3,0.0775,-10.059,0,0.0296,136.136,3,0.159
I Stay Away,Alice In Chains,Jar Of Flies,extended play,254,1994,0.0452,0.174,0.781,0.00346,6,0.0822,-7.066,1,0.0406,81.37,4,0.276
No Excuses,Alice In Chains,Jar Of Flies,extended play,255,1994,0.0206,0.527,0.838,0.00062,3,0.07,-6.013,1,0.0323,117.454,4,0.721
Whale & Wasp,Alice In Chains,Jar Of Flies,extended play,157,1994,0.926,0.312,0.248,0.866,6,0.188,-10.576,1,0.0311,102.364,4,0.224
Don't Follow,Alice In Chains,Jar Of Flies,extended play,262,1994,0.781,0.314,0.37,0.139,1,0.122,-9.921,1,0.0286,116.066,1,0.28
Swing On This,Alice In Chains,Jar Of Flies,extended play,244,1994,0.0438,0.412,0.759,0.0995,5,0.352,-8.045,1,0.0411,129.742,4,0.447
Them Bones,Alice In Chains,Dirt,studio album,149,1992,0.0235,0.159,0.946,8.06e-06,9,0.387,-5.756,1,0.0629,165.014,1,0.309
Dam That River,Alice In Chains,Dirt,studio album,189,1992,0.00636,0.427,0.913,0.0,6,0.471,-5.545,0,0.0804,124.419,4,0.471
Rain When I Die,Alice In Chains,Dirt,studio album,361,1992,0.0183,0.422,0.859,0.000673,9,0.209,-6.778,1,0.0757,120.078,3,0.203
Down In A Hole,Alice In Chains,Dirt,studio album,338,1992,0.0134,0.357,0.795,0.00013,6,0.111,-5.909,1,0.0337,97.171,4,0.416
Sickman,Alice In Chains,Dirt,studio album,329,1992,0.00743,0.287,0.912,0.00069,1,0.0871,-5.553,1,0.0954,139.106,3,0.274
Rooster,Alice In Chains,Dirt,studio album,374,1992,0.0307,0.271,0.551,0.000581,3,0.118,-8.46,1,0.0272,143.899,3,0.2
Junkhead,Alice In Chains,Dirt,studio album,309,1992,0.0013,0.298,0.776,0.000271,11,0.096,-7.171,1,0.0376,140.453,4,0.245
Dirt,Alice In Chains,Dirt,studio album,316,1992,0.00323,0.258,0.926,5.15e-06,1,0.13,-5.901,1,0.0761,112.643,4,0.251
God Smack,Alice In Chains,Dirt,studio album,230,1992,0.0138,0.515,0.928,0.0,10,0.107,-6.392,0,0.0694,124.058,4,0.389
Untitled,Alice In Chains,Dirt,studio album,43,1992,0.401,0.11,0.424,0.269,3,0.658,-7.243,1,0.0408,85.946,1,0.416
Hate To Feel,Alice In Chains,Dirt,studio album,316,1992,0.115,0.293,0.909,0.0,8,0.0512,-5.394,1,0.0955,138.561,4,0.114
Angry Chair,Alice In Chains,Dirt,studio album,287,1992,0.0419,0.325,0.936,0.0,8,0.0415,-6.295,1,0.0848,106.988,4,0.159
Would?,Alice In Chains,Dirt,studio album,206,1992,0.000327,0.305,0.833,2.36e-05,6,0.091,-7.981,1,0.0398,100.675,4,0.586
We Die Young,Alice In Chains,Facelift,studio album,152,1990,1.79e-05,0.486,0.938,0.000103,1,0.361,-6.652,1,0.0704,125.816,4,0.525
Man in the Box,Alice In Chains,Facelift,studio album,285,1990,0.00045,0.355,0.791,0.0,8,0.0969,-7.565,1,0.0453,106.392,4,0.758
Sea Of Sorrow,Alice In Chains,Facelift,studio album,349,1990,0.0139,0.288,0.843,0.0,11,0.0555,-7.858,1,0.0633,122.147,4,0.311
Bleed The Freak,Alice In Chains,Facelift,studio album,242,1990,0.00252,0.245,0.749,7.87e-06,8,0.185,-9.352,0,0.0599,118.363,4,0.221
I Can't Remember,Alice In Chains,Facelift,studio album,222,1990,0.00146,0.277,0.736,2.43e-05,8,0.214,-8.851,1,0.0404,104.974,4,0.185
"Love, Hate, Love",Alice In Chains,Facelift,studio album,387,1990,0.00783,0.323,0.633,0.000112,8,0.0435,-9.014,1,0.0402,103.978,4,0.209
It Ain't Like That,Alice In Chains,Facelift,studio album,277,1990,0.00905,0.445,0.842,3.57e-05,8,0.295,-7.9,0,0.0417,102.859,4,0.676
Sunshine,Alice In Chains,Facelift,studio album,285,1990,0.00297,0.178,0.787,6.9e-06,1,0.163,-7.008,1,0.0476,76.932,4,0.37
Put You Down,Alice In Chains,Facelift,studio album,195,1990,0.00068,0.363,0.901,1.88e-05,5,0.348,-8.147,0,0.0558,113.575,4,0.574
Confusion,Alice In Chains,Facelift,studio album,344,1990,0.00666,0.251,0.734,4.73e-05,3,0.116,-7.43,1,0.0397,149.831,4,0.129
I Know Somethin (Bout You),Alice In Chains,Facelift,studio album,262,1990,7.98e-05,0.414,0.822,1.78e-06,8,0.402,-8.972,0,0.0597,113.363,4,0.747
Real Thing,Alice In Chains,Facelift,studio album,245,1990,0.00993,0.341,0.883,0.0,8,0.0714,-7.342,1,0.0906,123.056,4,0.265
Man in the Box,Alice In Chains,Greatest Hits,compilation album,287,2001,0.00144,0.339,0.854,0.0,8,0.0942,-4.577,1,0.0493,106.145,4,0.675
Them Bones,Alice In Chains,Greatest Hits,compilation album,150,2001,0.0249,0.153,0.955,4.63e-05,9,0.264,-4.62,1,0.0618,165.017,1,0.294
Rooster,Alice In Chains,Greatest Hits,compilation album,375,2001,0.161,0.262,0.636,0.00217,3,0.127,-5.945,1,0.0278,142.988,4,0.18
Angry Chair,Alice In Chains,Greatest Hits,compilation album,288,2001,0.0633,0.311,0.969,3.73e-06,8,0.0499,-3.986,1,0.104,106.817,4,0.129
Would?,Alice In Chains,Greatest Hits,compilation album,208,2001,0.00594,0.301,0.923,0.000756,6,0.0541,-5.458,1,0.0665,100.752,4,0.426
No Excuses,Alice In Chains,Greatest Hits,compilation album,255,2001,0.0209,0.53,0.851,0.000225,3,0.0784,-4.9,1,0.0309,117.468,4,0.687
I Stay Away,Alice In Chains,Greatest Hits,compilation album,254,2001,0.0915,0.195,0.855,0.000571,6,0.0886,-5.328,1,0.0442,82.974,4,0.36
Grind,Alice In Chains,Greatest Hits,compilation album,286,2001,0.000206,0.254,0.923,0.000301,11,0.302,-4.523,1,0.0531,176.605,4,0.317
Heaven Beside You,Alice In Chains,Greatest Hits,compilation album,329,2001,0.00217,0.531,0.769,0.00101,10,0.138,-4.902,0,0.0349,111.272,4,0.523
Again,Alice In Chains,Greatest Hits,compilation album,245,2001,0.000896,0.547,0.902,0.0198,7,0.133,-5.349,1,0.0533,123.193,4,0.366
Get Born Again,Alice In Chains,Music Bank,compilation album,324,1999,0.00129,0.339,0.863,0.024,8,0.145,-6.463,1,0.0561,102.682,4,0.271
I Can't Have You Blues,Alice In Chains,Music Bank,compilation album,240,1999,0.00496,0.333,0.975,0.0,1,0.308,-3.847,1,0.136,142.995,4,0.322
Whatcha Gonna Do,Alice In Chains,Music Bank,compilation album,173,1999,0.0292,0.388,0.99,1.06e-05,1,0.0637,-4.209,1,0.102,151.494,4,0.536
Social Parasite,Alice In Chains,Music Bank,compilation album,261,1999,0.00318,0.399,0.971,1.12e-06,8,0.337,-4.107,1,0.0853,138.942,4,0.398
Queen of the Rodeo,Alice In Chains,Music Bank,compilation album,278,1999,0.00243,0.155,0.743,0.128,1,0.392,-7.636,1,0.0473,50.465,4,0.369
Bleed the Freak,Alice In Chains,Music Bank,compilation album,211,1999,0.0012,0.169,0.773,0.0648,5,0.0759,-5.567,0,0.0479,127.104,4,0.409
Killing Yourself,Alice In Chains,Music Bank,compilation album,158,1999,0.00424,0.417,0.967,0.0,8,0.371,-4.347,1,0.184,143.105,4,0.233
We Die Young,Alice In Chains,Music Bank,compilation album,152,1999,3.82e-05,0.472,0.971,0.00023,1,0.248,-3.635,1,0.0703,125.74,4,0.422
Man in the Box,Alice In Chains,Music Bank,compilation album,287,1999,0.00112,0.338,0.853,0.0,8,0.0759,-4.589,1,0.0482,106.118,4,0.694
Sea Of Sorrow,Alice In Chains,Music Bank,compilation album,321,1999,0.00498,0.312,0.907,0.0,11,0.0504,-4.033,1,0.0724,130.681,4,0.324
I Can't Remember,Alice In Chains,Music Bank,compilation album,223,1999,0.00756,0.265,0.822,0.000117,8,0.211,-4.926,1,0.0444,104.287,4,0.196
"Love, Hate, Love",Alice In Chains,Music Bank,compilation album,389,1999,0.0341,0.303,0.726,0.000367,8,0.0424,-5.566,1,0.0479,102.528,4,0.158
It Ain't Like That,Alice In Chains,Music Bank,compilation album,278,1999,0.0313,0.426,0.907,0.000136,8,0.243,-4.199,1,0.0415,103.078,4,0.623
Confusion,Alice In Chains,Music Bank,compilation album,345,1999,0.0125,0.197,0.826,0.000406,3,0.0704,-4.713,1,0.0416,71.397,4,0.0982
Rooster,Alice In Chains,Music Bank,compilation album,346,1999,0.0229,0.322,0.568,0.00138,8,0.123,-6.74,1,0.0259,154.351,4,0.181
Right Turn,Alice In Chains,Music Bank,compilation album,194,1999,0.175,0.505,0.408,0.0,8,0.177,-7.436,1,0.0231,96.405,4,0.245
Got Me Wrong,Alice In Chains,Music Bank,compilation album,249,1999,0.146,0.485,0.915,0.00144,8,0.21,-4.954,1,0.0651,83.45,4,0.215
Rain When I Die,Alice In Chains,Music Bank,compilation album,362,1999,0.0395,0.409,0.915,0.0013,9,0.117,-5.348,1,0.0988,120.145,3,0.163
